id,time,timestamp,strategy,asset,side,price,size,pnl,status,confidence,edge,latency,note
C5LEG-1779222654-SOL,22:31:41,1779222701.1182868,coin5min,SOL,YES_LEG,0.516,3.83,3.44,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.35 final=84.41 | fee=0.00 slip=0.15
C5LEG-1779222625-ETH,22:31:10,1779222670.7020102,coin5min,ETH,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.02,0.0,leg1 expiry | YES only | ref=2111.99 final=2116.65 | fee=0.00 slip=0.15
C5LEG-1779222624-BTC,22:31:10,1779222670.2916741,coin5min,BTC,YES_LEG,0.5178,5.0,4.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76811.48 final=76961.29 | fee=0.00 slip=0.15
C5LEG-1779222606-SOL,22:30:54,1779222654.417601,coin5min,SOL,YES_LEG,0.526,3.9,3.36,LEG1_WIN,,-0.02,0.0,leg1 expiry | YES only | ref=84.35 final=84.44 | fee=0.00 slip=0.15
C5LEG-1779222579-ETH,22:30:25,1779222625.1218827,coin5min,ETH,YES_LEG,0.4909,0.52,0.39,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2111.97 final=2115.76 | fee=0.00 slip=0.15
C5LEG-1779222578-BTC,22:30:24,1779222624.71413,coin5min,BTC,YES_LEG,0.508,5.0,-0.16,LOSS,,-0.01,0.0,expiry | ref=76808.51 final=76932.17 outcome=YES | fee=0.00 slip=0.00
C5LEG-1779222559-SOL,22:30:06,1779222606.698933,coin5min,SOL,NO_LEG,0.504,2.5,-2.65,LEG1_LOSS,,-0.01,0.0,leg1 expiry | NO only | ref=84.35 final=84.41 | fee=0.00 slip=0.15
C5LEG-1779222533-ETH,22:29:39,1779222579.2664325,coin5min,ETH,YES_LEG,0.4982,5.0,4.89,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2112.14 final=2115.61 | fee=0.00 slip=0.15
C5LEG-1779222533-BTC,22:29:38,1779222578.8658814,coin5min,BTC,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76815.39 final=76919.89 | fee=0.00 slip=0.15
C5LEG-1779222514-SOL,22:29:19,1779222559.8048935,coin5min,SOL,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.34 final=84.38 | fee=0.00 slip=0.15
C5LEG-1779222485-ETH,22:28:53,1779222533.5486465,coin5min,ETH,YES_LEG,0.4982,5.0,4.89,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2111.15 final=2115.76 | fee=0.00 slip=0.15
C5LEG-1779222485-BTC,22:28:52,1779222532.9812818,coin5min,BTC,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76782.76 final=76927.51 | fee=0.00 slip=0.15
C5LEG-1779222467-SOL,22:28:34,1779222514.4283218,coin5min,SOL,YES_LEG,0.502,1.25,1.09,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.31 final=84.38 | fee=0.00 slip=0.15
C5LEG-1779222437-ETH,22:28:05,1779222485.3237581,coin5min,ETH,YES_LEG,0.4982,5.0,4.89,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2111.89 final=2115.99 | fee=0.00 slip=0.15
C5LEG-1779222437-BTC,22:28:04,1779222484.9846938,coin5min,BTC,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76804.58 final=76927.51 | fee=0.00 slip=0.15
C5LEG-1779222420-SOL,22:27:47,1779222467.125175,coin5min,SOL,YES_LEG,0.506,3.75,3.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.40 final=84.40 | fee=0.00 slip=0.15
C5LEG-1779222391-ETH,22:27:17,1779222437.3170063,coin5min,ETH,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2113.72 final=2116.30 | fee=0.00 slip=0.15
C5LEG-1779222391-BTC,22:27:16,1779222436.9841115,coin5min,BTC,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76870.35 final=76944.90 | fee=0.00 slip=0.15
C5LEG-1779222375-SOL,22:27:00,1779222420.8398068,coin5min,SOL,YES_LEG,0.506,3.75,-3.9,LEG1_LOSS,,-0.01,0.0,leg1 expiry | YES only | ref=84.44 final=84.43 | fee=0.00 slip=0.15
